Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
2 Jan,2520.1,2310.09,1890.07,1470.06,1050.04
3 Jan,2540.43,2328.72,1905.32,1481.91,1058.51
4 Jan,2542.92,2331.01,1907.19,1483.37,1059.55
5 Jan,2572.07,2357.73,1929.05,1500.37,1071.69
6 Jan,2569.47,2355.34,1927.1,1498.86,1070.61
9 Jan,2589.52,2373.73,1942.14,1510.55,1078.97
10 Jan,2605.64,2388.5,1954.23,1519.95,1085.68
11 Jan,2615.57,2397.6,1961.68,1525.75,1089.82
12 Jan,2620.81,2402.41,1965.61,1528.8,1092.0
13 Jan,2624.03,2405.36,1968.03,1530.69,1093.35
16 Jan,2634.84,2415.27,1976.13,1536.99,1097.85
17 Jan,2653.41,2432.29,1990.06,1547.82,1105.59
18 Jan,2641.36,2421.25,1981.02,1540.79,1100.57
19 Jan,2635.47,2415.85,1976.61,1537.36,1098.11
20 Jan,2648.07,2427.39,1986.05,1544.71,1103.36
23 Jan,2663.93,2441.94,1997.95,1553.96,1109.97
24 Jan,2650.65,2429.76,1987.99,1546.21,1104.44
25 Jan,2624.63,2405.91,1968.47,1531.04,1093.6
26 Jan,2604.35,2387.32,1953.26,1519.2,1085.15
27 Jan,2608.06,2390.72,1956.05,1521.37,1086.69
30 Jan,2610.43,2392.89,1957.82,1522.75,1087.68
31 Jan,2630.61,2411.39,1972.96,1534.52,1096.09
1 Feb,2621.65,2403.18,1966.24,1529.3,1092.35
2 Feb,2627.79,2408.81,1970.85,1532.88,1094.91
3 Feb,2635.56,2415.93,1976.67,1537.41,1098.15
6 Feb,2665.18,2443.08,1998.89,1554.69,1110.49
7 Feb,2668.22,2445.87,2001.16,1556.46,1111.76
8 Feb,2670.38,2447.85,2002.79,1557.72,1112.66
9 Feb,2633.3,2413.85,1974.97,1536.09,1097.21
10 Feb,2649.92,2429.1,1987.44,1545.79,1104.14
13 Feb,2638.49,2418.62,1978.87,1539.12,1099.37
14 Feb,2638.12,2418.28,1978.59,1538.9,1099.22
15 Feb,2651.6,2430.64,1988.7,1546.77,1104.83
16 Feb,2674.98,2452.07,2006.24,1560.41,1114.58
17 Feb,2662.95,2441.03,1997.21,1553.39,1109.56
20 Feb,2663.81,2441.83,1997.86,1553.89,1109.92
21 Feb,2659.11,2437.51,1994.33,1551.14,1107.96
22 Feb,2661.81,2440.0,1996.36,1552.73,1109.09
23 Feb,2678.98,2455.73,2009.23,1562.74,1116.24
24 Feb,2696.47,2471.76,2022.35,1572.94,1123.53
27 Feb,2687.9,2463.91,2015.93,1567.94,1119.96
28 Feb,2672.78,2450.05,2004.59,1559.12,1113.66
1 Mar,2681.43,2457.98,2011.07,1564.17,1117.26
2 Mar,2655.43,2434.14,1991.57,1549.0,1106.43
3 Mar,2648.27,2427.58,1986.2,1544.82,1103.45
6 Mar,2628.04,2409.04,1971.03,1533.02,1095.02
7 Mar,2605.55,2388.42,1954.16,1519.9,1085.64
8 Mar,2594.47,2378.27,1945.85,1513.44,1081.03
9 Mar,2573.08,2358.66,1929.81,1500.97,1072.12
10 Mar,2575.04,2360.45,1931.28,1502.11,1072.93
13 Mar,2558.18,2345.0,1918.64,1492.27,1065.91
14 Mar,2539.0,2327.42,1904.25,1481.08,1057.92
15 Mar,2575.58,2360.94,1931.68,1502.42,1073.16
16 Mar,2580.01,2365.01,1935.01,1505.01,1075.0
17 Mar,2587.63,2372.0,1940.72,1509.45,1078.18
20 Mar,2593.91,2377.75,1945.43,1513.11,1080.79
21 Mar,2624.22,2405.54,1968.17,1530.8,1093.43
22 Mar,2620.3,2401.94,1965.23,1528.51,1091.79
23 Mar,2621.61,2403.15,1966.21,1529.28,1092.34
24 Mar,2617.71,2399.57,1963.28,1527.0,1090.71
27 Mar,2620.88,2402.48,1965.66,1528.85,1092.03
28 Mar,2618.25,2400.06,1963.69,1527.31,1090.94
29 Mar,2609.05,2391.63,1956.78,1521.94,1087.1
30 Mar,2592.01,2376.01,1944.01,1512.01,1080.0
31 Mar,2602.62,2385.73,1951.96,1518.19,1084.42
3 Apr,2619.13,2400.87,1964.35,1527.83,1091.31
4 Apr,2627.58,2408.62,1970.69,1532.76,1094.83
5 Apr,2631.72,2412.41,1973.79,1535.17,1096.55
6 Apr,2600.18,2383.5,1950.14,1516.77,1083.41
7 Apr,2600.68,2383.96,1950.51,1517.06,1083.62
10 Apr,2607.88,2390.56,1955.91,1521.26,1086.62
11 Apr,2653.25,2432.15,1989.94,1547.73,1105.52
12 Apr,2671.36,2448.75,2003.52,1558.29,1113.07
13 Apr,2669.93,2447.44,2002.45,1557.46,1112.47
14 Apr,2662.5,2440.62,1996.87,1553.12,1109.37
17 Apr,2657.09,2435.67,1992.82,1549.97,1107.12
18 Apr,2678.08,2454.91,2008.56,1562.21,1115.87
19 Apr,2659.96,2438.3,1994.97,1551.64,1108.32
20 Apr,2665.31,2443.2,1998.98,1554.76,1110.55
21 Apr,2670.8,2448.23,2003.1,1557.96,1112.83
24 Apr,2646.28,2425.76,1984.71,1543.67,1102.62
25 Apr,2616.55,2398.5,1962.41,1526.32,1090.23
26 Apr,2610.3,2392.78,1957.73,1522.68,1087.63
27 Apr,2605.58,2388.45,1954.19,1519.92,1085.66
28 Apr,2619.36,2401.08,1964.52,1527.96,1091.4
1 May,2594.78,2378.55,1946.09,1513.62,1081.16
2 May,2590.04,2374.2,1942.53,1510.86,1079.18
3 May,2558.57,2345.36,1918.93,1492.5,1066.07
4 May,2536.14,2324.8,1902.11,1479.42,1056.73
5 May,2538.09,2326.58,1903.57,1480.55,1057.54
8 May,2542.72,2330.82,1907.04,1483.25,1059.47
9 May,2544.05,2332.05,1908.04,1484.03,1060.02
10 May,2529.37,2318.59,1897.03,1475.46,1053.9
11 May,2537.08,2325.66,1902.81,1479.96,1057.12
12 May,2535.37,2324.09,1901.53,1478.97,1056.4
15 May,2535.77,2324.46,1901.83,1479.2,1056.57
16 May,2559.34,2346.06,1919.5,1492.95,1066.39
17 May,2603.62,2386.65,1952.71,1518.78,1084.84
18 May,2605.04,2387.95,1953.78,1519.6,1085.43
19 May,2606.21,2389.03,1954.66,1520.29,1085.92
22 May,2620.22,2401.87,1965.16,1528.46,1091.76
23 May,2610.33,2392.8,1957.75,1522.69,1087.64
24 May,2619.54,2401.24,1964.65,1528.06,1091.47
25 May,2604.85,2387.78,1953.64,1519.5,1085.36
26 May,2628.8,2409.73,1971.6,1533.47,1095.33
29 May,2628.69,2409.63,1971.52,1533.4,1095.29
30 May,2623.3,2404.69,1967.48,1530.26,1093.04
31 May,2631.53,2412.23,1973.65,1535.06,1096.47
1 Jun,2618.24,2400.05,1963.68,1527.31,1090.93
2 Jun,2642.13,2421.95,1981.6,1541.24,1100.89
5 Jun,2649.6,2428.8,1987.2,1545.6,1104.0
6 Jun,2679.92,2456.6,2009.94,1563.29,1116.63
7 Jun,2661.99,2440.16,1996.49,1552.83,1109.16
8 Jun,2644.7,2424.3,1983.52,1542.74,1101.96
9 Jun,2622.37,2403.84,1966.78,1529.72,1092.66
12 Jun,2623.08,2404.49,1967.31,1530.13,1092.95
13 Jun,2622.69,2404.13,1967.01,1529.9,1092.79
14 Jun,2607.11,2389.85,1955.33,1520.81,1086.29
15 Jun,2603.29,2386.35,1952.47,1518.58,1084.7
16 Jun,2595.84,2379.52,1946.88,1514.24,1081.6
19 Jun,2579.17,2364.24,1934.38,1504.51,1074.65
20 Jun,2587.8,2372.15,1940.85,1509.55,1078.25
21 Jun,2592.49,2376.45,1944.37,1512.28,1080.2
22 Jun,2599.02,2382.44,1949.27,1516.1,1082.93
23 Jun,2605.81,2388.66,1954.36,1520.06,1085.75
26 Jun,2575.36,2360.75,1931.52,1502.29,1073.07
27 Jun,2592.23,2376.21,1944.18,1512.14,1080.1
28 Jun,2592.68,2376.63,1944.51,1512.4,1080.28
29 Jun,2596.47,2380.1,1947.35,1514.61,1081.86
30 Jun,2579.26,2364.32,1934.44,1504.57,1074.69
3 Jul,2550.79,2338.22,1913.09,1487.96,1062.83
4 Jul,2555.03,2342.11,1916.27,1490.43,1064.59
5 Jul,2555.82,2342.83,1916.86,1490.89,1064.92
6 Jul,2545.55,2333.42,1909.16,1484.9,1060.65
7 Jul,2520.3,2310.28,1890.23,1470.18,1050.13
10 Jul,2515.83,2306.18,1886.88,1467.57,1048.26
11 Jul,2526.85,2316.28,1895.14,1474.0,1052.85
12 Jul,2523.47,2313.18,1892.61,1472.03,1051.45
13 Jul,2522.82,2312.58,1892.11,1471.64,1051.17
14 Jul,2539.82,2328.17,1904.86,1481.56,1058.26
17 Jul,2550.74,2338.17,1913.05,1487.93,1062.81
18 Jul,2569.88,2355.72,1927.41,1499.09,1070.78
19 Jul,2565.34,2351.56,1924.01,1496.45,1068.89
20 Jul,2573.16,2358.73,1929.87,1501.01,1072.15
21 Jul,2601.36,2384.58,1951.02,1517.46,1083.9
24 Jul,2594.87,2378.63,1946.15,1513.67,1081.19
