Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
2 Jan,2893.80,2652.65,2170.35,1688.05,1205.75
3 Jan,2919.67,2676.37,2189.75,1703.14,1216.53
4 Jan,2872.44,2633.07,2154.33,1675.59,1196.85
7 Jan,2893.55,2652.42,2170.16,1687.90,1205.65
8 Jan,2898.38,2656.85,2173.79,1690.72,1207.66
9 Jan,2933.26,2688.82,2199.94,1711.07,1222.19
10 Jan,2916.24,2673.22,2187.18,1701.14,1215.10
11 Jan,2913.46,2670.67,2185.10,1699.52,1213.94
14 Jan,2939.76,2694.78,2204.82,1714.86,1224.90
15 Jan,2948.24,2702.56,2211.18,1719.81,1228.43
16 Jan,2954.75,2708.52,2216.06,1723.60,1231.14
17 Jan,2951.78,2705.80,2213.84,1721.87,1229.91
18 Jan,2935.96,2691.29,2201.97,1712.64,1223.31
21 Jan,2929.54,2685.41,2197.15,1708.90,1220.64
22 Jan,2942.06,2696.88,2206.54,1716.20,1225.86
23 Jan,2937.06,2692.31,2202.80,1713.29,1223.78
24 Jan,2925.22,2681.45,2193.91,1706.38,1218.84
25 Jan,2973.38,2725.60,2230.03,1734.47,1238.91
28 Jan,2980.74,2732.35,2235.56,1738.77,1241.98
29 Jan,3010.41,2759.54,2257.81,1756.07,1254.34
30 Jan,3017.14,2765.71,2262.85,1760.00,1257.14
31 Jan,3013.99,2762.83,2260.49,1758.16,1255.83
1 Feb,3027.80,2775.48,2270.85,1766.22,1261.58
4 Feb,3023.74,2771.77,2267.81,1763.85,1259.89
5 Feb,3024.06,2772.05,2268.04,1764.03,1260.02
6 Feb,3006.07,2755.57,2254.55,1753.54,1252.53
7 Feb,3003.95,2753.63,2252.97,1752.31,1251.65
8 Feb,3006.55,2756.01,2254.92,1753.82,1252.73
11 Feb,2995.22,2745.62,2246.41,1747.21,1248.01
12 Feb,2972.67,2724.95,2229.50,1734.06,1238.61
13 Feb,2979.85,2731.53,2234.89,1738.25,1241.61
14 Feb,2995.75,2746.10,2246.81,1747.52,1248.23
15 Feb,3030.52,2777.98,2272.89,1767.80,1262.72
18 Feb,3044.42,2790.72,2283.32,1775.91,1268.51
19 Feb,3070.80,2814.90,2303.10,1791.30,1279.50
20 Feb,3062.71,2807.49,2297.03,1786.58,1276.13
21 Feb,3034.97,2782.06,2276.23,1770.40,1264.57
22 Feb,3032.60,2779.88,2274.45,1769.02,1263.58
25 Feb,3023.32,2771.38,2267.49,1763.61,1259.72
26 Feb,3031.82,2779.17,2273.86,1768.56,1263.26
27 Feb,3024.65,2772.60,2268.49,1764.38,1260.27
28 Feb,2992.48,2743.11,2244.36,1745.62,1246.87
1 Mar,2952.98,2706.90,2214.74,1722.57,1230.41
4 Mar,2934.48,2689.94,2200.86,1711.78,1222.70
5 Mar,2919.46,2676.17,2189.59,1703.02,1216.44
6 Mar,2900.56,2658.85,2175.42,1691.99,1208.57
7 Mar,2902.89,2660.99,2177.17,1693.36,1209.54
8 Mar,2922.84,2679.27,2192.13,1704.99,1217.85
11 Mar,2900.82,2659.08,2175.61,1692.14,1208.67
12 Mar,2914.70,2671.81,2186.03,1700.24,1214.46
13 Mar,2929.99,2685.82,2197.49,1709.16,1220.83
14 Mar,2889.37,2648.59,2167.03,1685.47,1203.91
15 Mar,2887.17,2646.57,2165.38,1684.18,1202.99
18 Mar,2876.03,2636.36,2157.03,1677.69,1198.35
19 Mar,2898.56,2657.01,2173.92,1690.82,1207.73
20 Mar,2911.41,2668.80,2183.56,1698.32,1213.09
