DATE,CLOSE PRICE,HIGH,LOW,OPEN PRICE,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
2017-01-02,67.9448013305664,68.23999786376953,67.9000015258789,67.9448013305664,2520.1,2310.09,1890.07,1470.06,1050.04
2017-01-03,68.13390350341797,68.43000030517578,68.03800201416016,68.13500213623047,2540.43,2328.72,1905.32,1481.91,1058.51
2017-01-04,68.2697982788086,68.27999877929688,67.93450164794922,68.2699966430664,2542.92,2331.01,1907.19,1483.37,1059.55
2017-01-05,67.885498046875,67.9905014038086,67.71499633789062,67.88500213623047,2572.07,2357.73,1929.05,1500.37,1071.69
2017-01-06,67.73300170898438,68.10199737548828,67.7334976196289,67.73799896240234,2569.47,2355.34,1927.1,1498.86,1070.61
2017-01-09,68.1426010131836,68.27300262451172,68.08999633789062,68.13259887695312,2589.52,2373.73,1942.14,1510.55,1078.97
2017-01-10,68.09700012207031,68.26399993896484,67.97799682617188,68.09439849853516,2605.64,2388.5,1954.23,1519.95,1085.68
2017-01-11,68.31800079345703,68.49299621582031,68.16799926757812,68.31500244140625,2615.57,2397.6,1961.68,1525.75,1089.82
2017-01-12,68.13999938964844,68.18800354003906,67.94999694824219,68.13999938964844,2620.81,2402.41,1965.61,1528.8,1092.0
2017-01-13,68.12950134277344,68.2699966430664,68.06999969482422,68.12999725341797,2624.03,2405.36,1968.03,1530.69,1093.35
2017-01-16,68.15779876708984,68.2699966430664,68.05999755859375,68.15779876708984,2634.84,2415.27,1976.13,1536.99,1097.85
2017-01-17,68.09459686279297,68.14800262451172,67.90299987792969,68.09500122070312,2653.41,2432.29,1990.06,1547.82,1105.59
2017-01-18,67.89949798583984,68.11000061035156,67.87999725341797,67.8905029296875,2641.36,2421.25,1981.02,1540.79,1100.57
2017-01-19,68.197998046875,68.29000091552734,68.08000183105469,68.22550201416016,2635.47,2415.85,1976.61,1537.36,1098.11
2017-01-20,68.09030151367188,68.2699966430664,68.01000213623047,68.08999633789062,2648.07,2427.39,1986.05,1544.71,1103.36
2017-01-23,68.07720184326172,68.21299743652344,67.98999786376953,68.07219696044922,2663.93,2441.94,1997.95,1553.96,1109.97
2017-01-24,68.05139923095703,68.16999816894531,68.0353012084961,68.05549621582031,2650.65,2429.76,1987.99,1546.21,1104.44
2017-01-25,68.16449737548828,68.18299865722656,68.02999877929688,68.16470336914062,2624.63,2405.91,1968.47,1531.04,1093.6
2017-01-26,67.9729995727539,68.22200012207031,67.95999908447266,67.96549987792969,2604.35,2387.32,1953.26,1519.2,1085.15
2017-01-27,68.14900207519531,68.2249984741211,68.00800323486328,68.14550018310547,2608.06,2390.72,1956.05,1521.37,1086.69
2017-01-30,68.11000061035156,68.10990142822266,67.7300033569336,68.10990142822266,2610.43,2392.89,1957.82,1522.75,1087.68
2017-01-31,67.82099914550781,67.89299774169922,67.31999969482422,67.82550048828125,2630.61,2411.39,1972.96,1534.52,1096.09
2017-02-01,67.50160217285156,67.6780014038086,67.4052963256836,67.46939849853516,2621.65,2403.18,1966.24,1529.3,1092.35
2017-02-02,67.39540100097656,67.49800109863281,67.16829681396484,67.3949966430664,2627.79,2408.81,1970.85,1532.88,1094.91
2017-02-03,67.2656021118164,67.41999816894531,67.02999877929688,67.2656021118164,2635.56,2415.93,1976.67,1537.41,1098.15
2017-02-06,67.15730285644531,67.23999786376953,67.11000061035156,67.16819763183594,2665.18,2443.08,1998.89,1554.69,1110.49
2017-02-07,67.19529724121094,67.44999694824219,67.1946029663086,67.19499969482422,2668.22,2445.87,2001.16,1556.46,1111.76
2017-02-08,67.34049987792969,67.38999938964844,66.93499755859375,67.3499984741211,2670.38,2447.85,2002.79,1557.72,1112.66
2017-02-09,66.96430206298828,67.06500244140625,66.6500015258789,66.95500183105469,2633.3,2413.85,1974.97,1536.09,1097.21
2017-02-10,66.74530029296875,66.9749984741211,66.73500061035156,66.73500061035156,2649.92,2429.1,1987.44,1545.79,1104.14
2017-02-13,66.84369659423828,67.03299713134766,66.81999969482422,66.8406982421875,2638.49,2418.62,1978.87,1539.12,1099.37
2017-02-14,66.91539764404297,66.9749984741211,66.76000213623047,66.94170379638672,2638.12,2418.28,1978.59,1538.9,1099.22
2017-02-15,66.7759017944336,66.97830200195312,66.7750015258789,66.7750015258789,2651.6,2430.64,1988.7,1546.77,1104.83
2017-02-16,66.8655014038086,67.07499694824219,66.8499984741211,66.875,2674.98,2452.07,2006.24,1560.41,1114.58
